id_klienta,umowa,plan,oplata_miesieczna,staz_miesiecy,uslugi_dodatkowe,zgloszenia,opoznione_platnosci,platnosc,wiek,powod_rezygnacji,rezygnacja
11657,miesięczna,podstawowy,65.0,20,3,2,2,polecenie zapłaty,42.0,,nie
10539,miesięczna,podstawowy,39.0,25,2,3,4,przelew,40.0,jakość,tak
10544,dwuletnia,podstawowy,53.0,7,1,0,0,polecenie zapłaty,39.0,,nie
11125,miesięczna,podstawowy,39.0,84,3,2,4,karta,48.0,,nie
11786,dwuletnia,premium,132.0,23,2,1,0,przelew,56.0,,nie
11968,dwuletnia,podstawowy,43.0,6,2,0,1,przelew,52.0,,nie
10030,roczna,standard,86.0,1,2,1,1,polecenie zapłaty,41.0,,nie
11068,roczna,podstawowy,53.0,11,2,0,0,karta,51.0,,nie
11448,roczna,standard,87.0,10,1,1,2,polecenie zapłaty,43.0,,nie
10808,miesięczna,standard,77.0,17,1,1,1,karta,51.0,konkurencja,tak
11320,dwuletnia,podstawowy,43.0,9,0,3,0,karta,33.0,,nie
10057,roczna,premium,137.0,77,0,3,1,polecenie zapłaty,44.0,,nie
10520,dwuletnia,podstawowy,47.0,41,1,3,0,karta,44.0,,nie
10938,miesięczna,podstawowy,69.0,21,0,2,0,karta,38.0,jakość,tak
11365,roczna,podstawowy,49.0,12,0,1,1,przelew,27.0,,nie
10252,dwuletnia,standard,73.0,13,3,0,1,polecenie zapłaty,32.0,,nie
10100,dwuletnia,podstawowy,61.0,12,2,3,2,karta,44.0,,nie
11511,miesięczna,premium,125.0,4,2,0,1,karta,61.0,cena,tak
10825,dwuletnia,premium,141.0,64,0,1,2,polecenie zapłaty,18.0,,nie
10299,roczna,podstawowy,41.0,19,0,1,0,przelew,35.0,,nie
11553,miesięczna,podstawowy,54.0,7,0,1,0,karta,36.0,jakość,tak
10423,miesięczna,standard,76.0,2,0,2,1,karta,54.0,konkurencja,tak
11281,miesięczna,standard,85.0,28,0,2,1,karta,57.0,jakość,tak
11522,roczna,premium,134.0,48,3,0,1,polecenie zapłaty,34.0,,nie
11858,miesięczna,standard,91.0,75,0,3,0,polecenie zapłaty,43.0,cena,tak
10765,dwuletnia,podstawowy,48.0,22,1,2,1,polecenie zapłaty,53.0,cena,tak
11541,dwuletnia,premium,120.0,2,3,4,0,polecenie zapłaty,32.0,,nie
10496,roczna,standard,69.0,4,3,3,0,polecenie zapłaty,27.0,,nie
11287,miesięczna,standard,82.0,25,1,1,1,przelew,35.0,przeprowadzka,tak
10987,miesięczna,podstawowy,62.0,11,0,1,1,karta,44.0,jakość,tak
10071,miesięczna,premium,120.0,8,1,1,2,karta,35.0,cena,tak
10276,miesięczna,podstawowy,65.0,12,0,0,0,polecenie zapłaty,45.0,jakość,tak
11795,dwuletnia,standard,99.0,37,2,1,0,polecenie zapłaty,55.0,,nie
11948,dwuletnia,podstawowy,66.0,4,1,0,0,karta,61.0,,0
10066,roczna,premium,138.0,10,2,1,1,polecenie zapłaty,59.0,,nie
10586,roczna,standard,71.0,1,3,2,1,karta,61.0,,nie
11108,miesięczna,standard,89.0,23,0,0,0,polecenie zapłaty,45.0,,nie
11248,miesięczna,premium,146.0,65,0,2,0,polecenie zapłaty,43.0,jakość,tak
11230,miesięczna,standard,79.0,3,0,0,1,karta,45.0,,0
10395,miesięczna,standard,72.0,7,1,2,0,przelew,27.0,,nie
11502,dwuletnia,standard,75.0,21,2,1,0,przelew,63.0,,nie
11493,roczna,premium,135.0,1,0,1,0,przelew,29.0,,nie
10112,miesięczna,standard,95.0,16,3,1,1,polecenie zapłaty,54.0,,nie
10353,roczna,podstawowy,49.0,55,0,0,0,polecenie zapłaty,58.0,,nie
11134,roczna,podstawowy,62.0,24,1,2,2,karta,49.0,,nie
10858,dwuletnia,standard,76.0,34,2,0,0,polecenie zapłaty,56.0,,nie
10675,roczna,standard,98.0,6,2,0,1,przelew,33.0,,nie
10571,miesięczna,podstawowy,67.0,11,3,2,1,przelew,51.0,,nie
10923,roczna,podstawowy,59.0,2,3,0,0,polecenie zapłaty,34.0,przeprowadzka,tak
11403,dwuletnia,standard,99.0,42,0,1,1,karta,,,nie
11171,miesięczna,premium,135.0,24,0,0,0,przelew,28.0,,nie
11808,miesięczna,standard,96.0,13,0,1,0,polecenie zapłaty,54.0,,nie
11658,dwuletnia,standard,93.0,38,3,0,1,polecenie zapłaty,40.0,,nie
10412,roczna,premium,142.0,7,3,2,1,polecenie zapłaty,27.0,,nie
11442,miesięczna,podstawowy,52.0,37,2,0,0,karta,56.0,,nie
10536,miesięczna,standard,94.0,30,1,0,1,polecenie zapłaty,38.0,,nie
11335,dwuletnia,podstawowy,68.0,11,0,1,1,karta,44.0,,nie
11456,miesięczna,standard,77.0,2,3,0,2,przelew,53.0,,nie
11000,miesięczna,podstawowy,62.0,10,3,2,0,karta,44.0,konkurencja,tak
10070,miesięczna,standard,72.0,3,1,1,1,polecenie zapłaty,37.0,konkurencja,tak
11030,miesięczna,podstawowy,42.0,53,2,1,1,przelew,41.0,,nie
10882,roczna,podstawowy,40.0,38,2,3,1,karta,39.0,,nie
10745,roczna,podstawowy,51.0,4,3,0,1,karta,18.0,,nie
11946,dwuletnia,premium,128.0,10,3,0,0,przelew,22.0,,nie
11250,dwuletnia,standard,72.0,24,0,1,2,karta,63.0,,nie
11513,roczna,premium,133.0,21,3,0,1,przelew,82.0,,nie
11345,dwuletnia,standard,99.0,3,2,1,0,polecenie zapłaty,42.0,,nie
11730,miesięczna,standard,89.0,5,2,1,0,karta,,konkurencja,tak
10589,miesięczna,standard,85.0,48,1,3,0,karta,66.0,konkurencja,tak
10721,roczna,standard,91.0,46,3,0,0,polecenie zapłaty,61.0,cena,tak
11290,roczna,standard,77.0,13,1,5,0,przelew,47.0,,nie
11741,miesięczna,podstawowy,49.0,10,3,5,1,przelew,59.0,cena,tak
11252,miesięczna,standard,88.0,84,2,2,1,karta,35.0,,nie
11088,roczna,standard,84.0,1,1,0,0,polecenie zapłaty,28.0,,nie
11914,roczna,podstawowy,65.0,1,1,2,0,polecenie zapłaty,34.0,,nie
11546,miesięczna,standard,69.0,3,0,0,0,polecenie zapłaty,29.0,konkurencja,tak
11375,dwuletnia,standard,77.0,29,2,1,0,karta,23.0,,nie
10874,miesięczna,podstawowy,64.0,23,3,0,1,przelew,36.0,,nie
11942,roczna,podstawowy,58.0,2,0,4,2,karta,39.0,konkurencja,tak
11011,roczna,podstawowy,53.0,1,3,2,0,przelew,44.0,,nie
10487,roczna,standard,83.0,77,2,0,0,karta,32.0,,nie
10129,miesięczna,podstawowy,45.0,28,0,0,0,polecenie zapłaty,18.0,,nie
11552,miesięczna,standard,71.0,6,1,1,0,polecenie zapłaty,47.0,konkurencja,tak
11683,roczna,standard,82.0,9,0,2,1,polecenie zapłaty,60.0,,nie
11490,roczna,standard,71.0,15,2,1,1,karta,41.0,,nie
11527,miesięczna,podstawowy,64.0,52,1,1,2,karta,47.0,,nie
11645,miesięczna,podstawowy,53.0,46,1,1,1,karta,60.0,,nie
10362,miesięczna,podstawowy,61.0,6,2,1,1,przelew,18.0,konkurencja,tak
11622,roczna,podstawowy,55.0,1,1,1,0,polecenie zapłaty,32.0,,0
11977,roczna,podstawowy,45.0,9,3,0,0,karta,53.0,,nie
10257,dwuletnia,premium,136.0,24,1,0,1,karta,37.0,,NIE
11262,miesięczna,standard,77.0,41,0,1,1,karta,54.0,,nie
11193,dwuletnia,standard,95.0,5,3,0,2,przelew,40.0,,nie
10545,miesięczna,standard,72.0,20,2,0,0,przelew,37.0,,nie
10343,dwuletnia,standard,75.0,31,0,2,3,polecenie zapłaty,18.0,,nie
11945,dwuletnia,podstawowy,44.0,4,2,0,1,polecenie zapłaty,59.0,,nie
10671,miesięczna,standard,90.0,1,3,1,1,polecenie zapłaty,39.0,,nie
11062,roczna,standard,92.0,21,3,1,0,polecenie zapłaty,60.0,,nie
11575,miesięczna,podstawowy,61.0,1,1,0,0,karta,38.0,,nie
11829,dwuletnia,premium,146.0,15,2,1,0,polecenie zapłaty,18.0,,0
10308,roczna,standard,83.0,16,0,2,1,karta,34.0,,0
11324,roczna,premium,147.0,3,1,4,0,karta,69.0,cena,tak
10766,miesięczna,premium,125.0,15,1,1,1,polecenie zapłaty,49.0,,nie
11420,dwuletnia,premium,129.0,84,2,1,0,karta,25.0,,nie
11387,roczna,standard,93.0,84,2,3,0,karta,65.0,,nie
10234,roczna,premium,137.0,16,1,2,3,polecenie zapłaty,31.0,,0
10232,miesięczna,standard,77.0,30,1,0,0,przelew,20.0,,nie
11809,miesięczna,premium,123.0,49,0,1,0,karta,29.0,,nie
10556,miesięczna,standard,95.0,3,1,1,1,przelew,60.0,przeprowadzka,tak
11879,roczna,podstawowy,55.0,14,0,2,2,karta,74.0,,nie
10889,miesięczna,podstawowy,56.0,12,1,2,0,polecenie zapłaty,35.0,,nie
11044,roczna,standard,81.0,3,3,2,1,karta,60.0,,nie
11602,miesięczna,podstawowy,52.0,24,0,1,1,polecenie zapłaty,70.0,,nie
10807,roczna,podstawowy,57.0,1,3,1,0,polecenie zapłaty,29.0,,nie
10716,miesięczna,podstawowy,48.0,23,0,0,0,polecenie zapłaty,46.0,,nie
10355,roczna,standard,86.0,48,0,2,1,przelew,31.0,jakość,tak
11019,miesięczna,podstawowy,42.0,2,3,1,1,polecenie zapłaty,39.0,jakość,tak
11734,miesięczna,standard,78.0,10,0,1,1,przelew,47.0,,nie
10655,dwuletnia,standard,69.0,67,2,2,0,karta,29.0,,nie
10306,roczna,podstawowy,52.0,62,2,3,1,karta,28.0,,nie
11362,miesięczna,podstawowy,68.0,18,3,3,1,przelew,41.0,konkurencja,tak
11676,dwuletnia,premium,119.0,8,3,1,2,przelew,33.0,,nie
11238,miesięczna,podstawowy,52.0,17,1,1,0,polecenie zapłaty,70.0,cena,tak
10781,miesięczna,podstawowy,55.0,1,2,1,1,karta,60.0,,0
11285,dwuletnia,podstawowy,39.0,33,2,0,1,polecenie zapłaty,18.0,,nie
10533,miesięczna,standard,78.0,15,0,2,0,przelew,24.0,jakość,tak
11107,miesięczna,podstawowy,53.0,67,2,4,0,karta,44.0,,nie
11804,roczna,podstawowy,47.0,20,0,2,1,przelew,27.0,,nie
10614,dwuletnia,standard,86.0,4,0,3,1,karta,44.0,,nie
10121,roczna,podstawowy,54.0,3,3,0,2,karta,51.0,przeprowadzka,tak
11357,roczna,standard,90.0,2,0,1,0,karta,30.0,,nie
11318,miesięczna,podstawowy,56.0,10,2,1,3,polecenie zapłaty,66.0,cena,tak
10621,roczna,premium,119.0,5,2,0,1,polecenie zapłaty,49.0,,nie
11876,roczna,standard,91.0,14,3,0,0,polecenie zapłaty,40.0,,nie
11856,dwuletnia,podstawowy,54.0,25,1,2,1,karta,44.0,,nie
10136,miesięczna,standard,90.0,61,0,1,0,karta,70.0,jakość,tak
11800,roczna,podstawowy,63.0,3,0,2,1,karta,39.0,,nie
10375,miesięczna,podstawowy,67.0,5,1,1,2,polecenie zapłaty,59.0,,nie
10317,miesięczna,podstawowy,60.0,62,3,0,1,przelew,29.0,,nie
11572,roczna,podstawowy,65.0,10,3,3,0,polecenie zapłaty,47.0,,nie
10255,miesięczna,premium,143.0,2,1,1,0,karta,55.0,przeprowadzka,tak
10465,roczna,podstawowy,53.0,2,0,1,0,karta,36.0,,nie
10907,roczna,premium,146.0,20,3,2,1,polecenie zapłaty,53.0,,nie
10110,dwuletnia,podstawowy,64.0,6,1,1,0,przelew,51.0,jakość,tak
10783,roczna,standard,72.0,1,0,0,0,polecenie zapłaty,31.0,,nie
10937,dwuletnia,podstawowy,69.0,17,0,1,1,polecenie zapłaty,47.0,,0
11341,miesięczna,podstawowy,60.0,24,2,1,3,karta,,,nie
10240,miesięczna,standard,83.0,49,2,0,0,polecenie zapłaty,38.0,,nie
11232,roczna,podstawowy,47.0,1,3,1,1,karta,53.0,,nie
11830,roczna,standard,79.0,2,3,1,1,polecenie zapłaty,55.0,,nie
10979,roczna,standard,92.0,28,1,1,1,polecenie zapłaty,20.0,,nie
10213,miesięczna,premium,148.0,5,1,0,1,przelew,,,nie
10814,roczna,podstawowy,67.0,7,1,0,0,karta,68.0,,nie
10830,miesięczna,standard,76.0,39,1,1,0,przelew,49.0,,nie
10778,miesięczna,standard,91.0,38,0,2,0,karta,46.0,cena,tak
10417,miesięczna,podstawowy,55.0,27,2,4,0,przelew,63.0,cena,tak
10352,miesięczna,premium,136.0,84,3,2,0,polecenie zapłaty,62.0,,nie
11423,roczna,standard,83.0,14,0,1,0,karta,39.0,,nie
11332,roczna,podstawowy,51.0,33,1,1,1,karta,39.0,,nie
10345,roczna,standard,78.0,22,1,0,2,polecenie zapłaty,39.0,,nie
11952,miesięczna,premium,131.0,1,0,1,1,karta,24.0,jakość,tak
10282,miesięczna,podstawowy,51.0,12,2,0,0,polecenie zapłaty,31.0,,nie
11042,roczna,premium,121.0,2,1,3,1,polecenie zapłaty,44.0,jakość,tak
10530,miesięczna,standard,90.0,12,1,2,1,karta,61.0,jakość,tak
11160,roczna,podstawowy,41.0,7,2,0,0,przelew,27.0,,nie
11747,roczna,podstawowy,46.0,18,0,5,1,karta,48.0,,nie
11961,roczna,podstawowy,42.0,19,3,1,1,karta,58.0,,nie
10478,roczna,podstawowy,55.0,11,0,1,1,przelew,25.0,,nie
10212,roczna,standard,71.0,9,0,3,0,polecenie zapłaty,63.0,cena,tak
10351,roczna,podstawowy,42.0,4,2,2,3,polecenie zapłaty,50.0,przeprowadzka,tak
10325,dwuletnia,podstawowy,55.0,18,3,3,0,karta,46.0,,nie
11473,miesięczna,standard,92.0,1,2,1,0,polecenie zapłaty,62.0,jakość,tak
10555,miesięczna,podstawowy,68.0,8,2,2,0,przelew,40.0,konkurencja,tak
10963,miesięczna,podstawowy,66.0,8,2,2,0,karta,47.0,cena,tak
11618,roczna,podstawowy,52.0,37,3,5,0,karta,22.0,,nie
10722,miesięczna,premium,126.0,5,3,1,0,polecenie zapłaty,44.0,przeprowadzka,tak
10050,miesięczna,podstawowy,63.0,20,2,2,0,karta,49.0,,nie
10211,roczna,premium,139.0,1,0,2,1,polecenie zapłaty,34.0,,nie
11095,roczna,standard,75.0,30,2,2,3,karta,44.0,,nie
11356,miesięczna,podstawowy,43.0,11,2,2,0,karta,28.0,,nie
11457,miesięczna,premium,120.0,65,0,1,3,karta,47.0,,nie
11413,dwuletnia,standard,94.0,3,1,2,1,przelew,39.0,cena,tak
11115,dwuletnia,standard,85.0,10,2,4,0,przelew,41.0,,nie
11776,roczna,standard,90.0,17,1,2,2,karta,50.0,,nie
10174,dwuletnia,podstawowy,55.0,37,3,1,0,karta,24.0,,nie
10290,miesięczna,podstawowy,53.0,3,3,0,1,karta,39.0,jakość,tak
11465,roczna,standard,72.0,12,3,1,1,karta,69.0,,NIE
10248,miesięczna,standard,80.0,10,1,1,1,karta,43.0,,nie
10238,roczna,podstawowy,48.0,28,0,0,0,przelew,48.0,,nie
10893,miesięczna,standard,90.0,13,0,0,0,polecenie zapłaty,58.0,,nie
11895,miesięczna,premium,133.0,14,0,1,1,polecenie zapłaty,61.0,,nie
10901,roczna,podstawowy,43.0,23,3,2,0,polecenie zapłaty,29.0,,nie
10024,dwuletnia,podstawowy,44.0,15,3,1,0,polecenie zapłaty,47.0,,nie
10773,roczna,premium,134.0,10,2,0,1,karta,46.0,,nie
10064,roczna,podstawowy,50.0,10,1,1,1,przelew,48.0,,nie
11720,dwuletnia,standard,77.0,16,2,1,1,karta,40.0,,nie
10189,roczna,podstawowy,43.0,48,0,0,1,przelew,59.0,,nie
10705,miesięczna,standard,90.0,67,0,3,1,karta,22.0,jakość,tak
11930,miesięczna,premium,126.0,26,0,1,1,karta,44.0,przeprowadzka,tak
11659,miesięczna,premium,143.0,11,3,3,0,karta,24.0,cena,tak
11152,dwuletnia,Standard ,74.0,12,1,0,1,przelew,40.0,przeprowadzka,tak
11564,dwuletnia,podstawowy,69.0,3,3,1,1,polecenie zapłaty,40.0,cena,tak
10788,miesięczna,standard,89.0,4,3,2,0,karta,32.0,przeprowadzka,tak
10515,miesięczna,podstawowy,56.0,66,1,4,2,przelew,24.0,cena,tak
10197,roczna,podstawowy,49.0,48,1,1,1,przelew,47.0,,nie
10472,roczna,premium,124.0,21,1,2,1,polecenie zapłaty,56.0,,nie
10945,miesięczna,podstawowy,39.0,20,0,4,0,przelew,37.0,przeprowadzka,tak
11396,miesięczna,premium,133.0,35,1,1,1,polecenie zapłaty,50.0,,nie
10271,miesięczna,standard,79.0,66,3,3,0,karta,43.0,przeprowadzka,tak
10439,roczna,standard,76.0,22,3,2,1,karta,64.0,,0
10101,dwuletnia,standard,82.0,10,3,1,1,karta,40.0,,nie
11693,miesięczna,podstawowy,57.0,36,2,3,1,polecenie zapłaty,47.0,,nie
11597,miesięczna,premium,140.0,21,3,1,1,przelew,41.0,,nie
11949,miesięczna,premium,147.0,41,1,0,0,polecenie zapłaty,52.0,,0
10221,miesięczna,podstawowy,48.0,1,1,2,2,karta,63.0,cena,tak
10367,roczna,podstawowy,49.0,25,1,2,2,przelew,51.0,,nie
11133,miesięczna,podstawowy,69.0,26,2,0,0,polecenie zapłaty,29.0,,nie
11697,miesięczna,podstawowy,52.0,31,3,0,0,przelew,37.0,,nie
11627,miesięczna,premium,131.0,52,2,3,4,polecenie zapłaty,,konkurencja,tak
11246,miesięczna,standard,88.0,20,1,3,1,karta,47.0,jakość,tak
10369,miesięczna,podstawowy,54.0,43,2,1,0,przelew,49.0,cena,tak
10994,miesięczna,standard,83.0,2,0,1,0,przelew,40.0,konkurencja,tak
11264,dwuletnia,standard,82.0,15,2,4,0,przelew,18.0,,nie
11788,roczna,podstawowy,47.0,48,2,0,3,polecenie zapłaty,46.0,,nie
10747,miesięczna,podstawowy,41.0,66,2,1,0,polecenie zapłaty,32.0,,0
10307,miesięczna,standard,83.0,20,3,1,0,przelew,35.0,jakość,tak
10484,miesięczna,podstawowy,64.0,22,1,1,4,karta,35.0,cena,tak
10603,dwuletnia,standard,76.0,39,0,2,2,polecenie zapłaty,42.0,,nie
11731,dwuletnia,premium,147.0,64,0,1,1,karta,22.0,,nie
10116,dwuletnia,premium,148.0,33,1,0,0,przelew,41.0,,nie
11563,dwuletnia,premium,139.0,16,2,0,1,polecenie zapłaty,18.0,,nie
11005,roczna,podstawowy,62.0,18,2,1,2,karta,45.0,,nie
10483,roczna,podstawowy,69.0,3,2,0,1,karta,22.0,,NIE
11327,miesięczna,standard,74.0,1,2,1,0,polecenie zapłaty,44.0,,nie
10651,miesięczna,premium,146.0,54,3,0,0,karta,,,nie
10746,roczna,standard,84.0,84,2,2,2,polecenie zapłaty,36.0,,nie
11002,roczna,standard,69.0,81,2,1,3,przelew,52.0,,nie
11273,miesięczna,standard,95.0,5,0,0,0,polecenie zapłaty,29.0,jakość,1
10079,roczna,podstawowy,40.0,9,1,4,1,polecenie zapłaty,57.0,,nie
11227,roczna,standard,91.0,10,2,1,1,karta,50.0,,nie
10033,miesięczna,podstawowy,59.0,2,0,0,2,polecenie zapłaty,45.0,,nie
10600,roczna,Premium ,140.0,9,3,2,0,karta,29.0,,nie
11336,dwuletnia,podstawowy,49.0,3,1,1,1,karta,42.0,,nie
10383,roczna,podstawowy,51.0,26,1,1,1,polecenie zapłaty,28.0,,nie
11821,dwuletnia,standard,93.0,48,2,1,1,polecenie zapłaty,38.0,,nie
10164,miesięczna,standard,77.0,75,2,1,0,karta,60.0,,nie
10204,miesięczna,podstawowy,59.0,8,2,0,1,karta,29.0,,nie
11883,miesięczna,standard,80.0,25,2,2,1,przelew,42.0,konkurencja,tak
10863,roczna,podstawowy,63.0,14,2,1,1,przelew,25.0,,nie
10926,miesięczna,standard,79.0,14,1,1,1,karta,26.0,jakość,tak
10573,roczna,standard,97.0,14,3,3,1,polecenie zapłaty,44.0,,nie
11531,miesięczna,podstawowy,59.0,39,1,1,0,polecenie zapłaty,38.0,,nie
11976,miesięczna,podstawowy,44.0,20,1,2,0,polecenie zapłaty,23.0,,nie
11245,miesięczna,podstawowy,62.0,48,2,0,3,przelew,49.0,,nie
10862,roczna,standard,78.0,14,2,1,1,karta,32.0,,nie
10809,roczna,podstawowy,62.0,33,1,2,1,polecenie zapłaty,54.0,,nie
11381,miesięczna,podstawowy,39.0,13,3,1,0,karta,41.0,,nie
10219,dwuletnia,premium,134.0,35,2,2,0,karta,34.0,,nie
11941,miesięczna,podstawowy,56.0,31,2,1,1,karta,31.0,,nie
11458,miesięczna,premium,137.0,2,1,1,0,przelew,48.0,konkurencja,tak
11112,miesięczna,podstawowy,62.0,72,0,1,1,polecenie zapłaty,33.0,,nie
10354,roczna,standard,87.0,68,3,0,1,karta,42.0,,nie
11299,roczna,standard,95.0,25,1,3,1,polecenie zapłaty,46.0,,nie
10060,miesięczna,podstawowy,67.0,4,0,0,0,karta,66.0,,nie
11289,roczna,podstawowy,49.0,34,0,3,0,przelew,55.0,,nie
10298,dwuletnia,podstawowy,52.0,7,1,0,0,polecenie zapłaty,40.0,,nie
10074,miesięczna,premium,128.0,24,2,2,1,karta,37.0,,nie
10163,miesięczna,podstawowy,49.0,12,0,1,1,karta,61.0,,nie
11951,dwuletnia,standard,81.0,2,3,2,0,karta,,,nie
11545,roczna,podstawowy,59.0,1,2,1,0,karta,,,nie
10553,miesięczna,standard,84.0,16,0,1,1,karta,42.0,konkurencja,tak
11051,roczna,premium,119.0,4,3,2,0,polecenie zapłaty,34.0,,nie
10594,roczna,podstawowy,52.0,26,0,1,1,polecenie zapłaty,51.0,,nie
11386,miesięczna,standard,91.0,68,1,1,0,karta,55.0,cena,tak
10046,dwuletnia,podstawowy,48.0,9,3,0,0,karta,72.0,,nie
10965,dwuletnia,podstawowy,65.0,25,2,0,0,przelew,46.0,,nie
11424,miesięczna,standard,76.0,44,1,2,1,przelew,49.0,przeprowadzka,tak
10433,roczna,standard,71.0,21,1,0,0,przelew,48.0,,nie
11286,dwuletnia,standard,83.0,84,1,2,2,przelew,25.0,,nie
10077,miesięczna,premium,135.0,17,0,3,3,przelew,39.0,jakość,tak
11927,miesięczna,standard,86.0,35,3,1,0,przelew,41.0,,nie
11422,roczna,podstawowy,63.0,52,3,2,0,przelew,40.0,,nie
11241,dwuletnia,premium,127.0,41,0,1,0,karta,42.0,,nie
10479,roczna,podstawowy,58.0,29,0,2,0,polecenie zapłaty,46.0,,nie
10454,miesięczna,standard,87.0,12,2,0,1,polecenie zapłaty,68.0,cena,tak
10384,roczna,podstawowy,61.0,24,3,1,0,polecenie zapłaty,36.0,,nie
11934,dwuletnia,podstawowy,50.0,16,1,0,0,karta,66.0,,nie
10031,roczna,podstawowy,46.0,1,2,0,1,polecenie zapłaty,42.0,,nie
11390,miesięczna,podstawowy,51.0,14,2,1,1,karta,48.0,,nie
11757,miesięczna,Podstawowy ,48.0,13,3,1,1,polecenie zapłaty,22.0,jakość,tak
11316,roczna,podstawowy,42.0,3,1,0,0,karta,37.0,,nie
11780,roczna,premium,149.0,84,3,0,1,polecenie zapłaty,69.0,,nie
10810,dwuletnia,podstawowy,53.0,4,1,0,0,karta,35.0,,nie
10974,dwuletnia,premium,143.0,11,1,0,2,karta,57.0,,0
11464,miesięczna,podstawowy,67.0,30,3,2,0,karta,59.0,przeprowadzka,tak
11559,roczna,standard,92.0,46,0,0,0,przelew,57.0,,nie
11576,miesięczna,podstawowy,62.0,66,0,1,0,karta,56.0,cena,tak
11617,miesięczna,podstawowy,53.0,5,0,1,0,polecenie zapłaty,37.0,jakość,tak
11582,miesięczna,standard,84.0,63,2,1,1,przelew,38.0,,NIE
10045,dwuletnia,premium,131.0,4,2,1,0,polecenie zapłaty,25.0,,nie
10495,roczna,premium,128.0,11,0,0,1,przelew,50.0,,nie
10169,miesięczna,podstawowy,53.0,2,3,0,1,polecenie zapłaty,60.0,jakość,tak
10304,roczna,standard,85.0,26,0,1,2,polecenie zapłaty,53.0,,nie
11998,miesięczna,standard,79.0,14,0,2,0,polecenie zapłaty,45.0,przeprowadzka,1
10421,roczna,podstawowy,62.0,38,0,1,0,polecenie zapłaty,34.0,,nie
11935,roczna,standard,69.0,47,0,0,0,przelew,64.0,,nie
10611,roczna,premium,125.0,3,2,0,0,przelew,57.0,,nie
11038,miesięczna,podstawowy,62.0,25,2,1,2,przelew,61.0,cena,TAK
11415,miesięczna,podstawowy,54.0,38,1,1,1,polecenie zapłaty,45.0,jakość,tak
11735,dwuletnia,podstawowy,51.0,21,3,2,0,polecenie zapłaty,51.0,,nie
10585,dwuletnia,podstawowy,45.0,9,2,0,0,karta,50.0,,nie
10638,roczna,podstawowy,65.0,20,0,1,0,przelew,31.0,,nie
11924,miesięczna,premium,123.0,6,1,0,2,karta,50.0,przeprowadzka,tak
11282,miesięczna,podstawowy,45.0,6,1,1,2,polecenie zapłaty,18.0,konkurencja,tak
11736,roczna,premium,126.0,29,0,1,0,polecenie zapłaty,24.0,,nie
10415,miesięczna,standard,90.0,84,1,0,0,karta,39.0,,nie
10186,roczna,podstawowy,64.0,5,2,3,1,karta,41.0,cena,tak
10707,roczna,premium,137.0,20,2,0,1,przelew,34.0,,nie
11205,miesięczna,premium,138.0,52,3,1,0,karta,32.0,,nie
11337,miesięczna,standard,81.0,2,1,0,0,karta,25.0,konkurencja,tak
10301,roczna,premium,149.0,2,1,2,1,karta,49.0,,nie
11543,miesięczna,premium,127.0,3,1,1,1,karta,58.0,cena,tak
10713,dwuletnia,podstawowy,65.0,16,2,0,1,przelew,46.0,,nie
11462,roczna,standard,78.0,15,0,1,2,karta,43.0,,nie
