dzielnica,powierzchnia,pokoje,pietro,rok_budowy,stan,winda,odleglosc_km,cena
Bronowice,71.1,3,6,1993.0,dobry,True,5.1,717000.0
Nowa Huta,40.4,2,6,2023.0,dobry,True,6.6,400000.0
Nowa Huta,30.7,2,3,,do remontu,False,6.7,191000.0
Krowodrza,22.0,1,7,1962.0,do remontu,True,1.6,286000.0
Nowa Huta,43.0,3,4,2012.0,do remontu,True,8.5,266000.0
Krowodrza,121.3,5,4,1970.0,po remoncie,True,5.1,1490000.0
Nowa Huta,60.5,2,4,2007.0,dobry,True,9.4,528000.0
Centrum,42.8,2,8,1921.0,po remoncie,True,0.3,817000.0
Krowodrza,61.2,2,6,1978.0,do remontu,True,4.4,678000.0
Centrum,30.1,1,4,1964.0,po remoncie,True,1.9,547000.0
Krowodrza,46.9,2,10,1967.0,po remoncie,True,1.5,691000.0
Podgórze,53.8,3,8,,do remontu,True,3.2,502000.0
Centrum,50.5,2,10,1904.0,,True,2.1,642000.0
Centrum,68.6,4,8,1953.0,do remontu,True,1.6,779000.0
Krowodrza,58.7,3,4,,po remoncie,True,1.7,785000.0
Podgórze,65.7,4,8,2003.0,dobry,True,4.1,846000.0
Bronowice,40.9,2,3,1992.0,dobry,True,2.9,436000.0
Krowodrza,71.2,4,2,1992.0,dobry,True,2.8,988000.0
Podgórze,92.0,3,4,1997.0,po remoncie,True,4.6,1093000.0
Krowodrza,37.0,2,10,2014.0,dobry,True,3.0,532000.0
Centrum,38.1,1,6,,dobry,True,0.5,598000.0
Bronowice,83.0,4,4,2013.0,po remoncie,True,5.9,1244000.0
Krowodrza,48.6,2,5,2010.0,do remontu,True,4.0,579000.0
Nowa Huta,85.0,4,3,2021.0,po remoncie,False,9.3,893000.0
Centrum,44.5,3,7,1973.0,do remontu,True,1.9,548000.0
Krowodrza,86.5,4,3,2011.0,dobry,True,4.1,1179000.0
Krowodrza,54.4,3,6,1975.0,po remoncie,True,3.7,704000.0
Bronowice,56.9,2,4,2009.0,dobry,True,5.3,638000.0
Krowodrza,89.9,4,3,,dobry,False,3.1,1109000.0
Krowodrza,45.8,2,10,1978.0,dobry,True,2.8,557000.0
Podgórze,37.4,2,3,2003.0,dobry,True,2.3,426000.0
Podgórze,44.4,3,0,1976.0,dobry,True,2.5,467000.0
Krowodrza,60.9,4,4,1993.0,dobry,True,2.7,650000.0
Krowodrza,30.1,2,5,2010.0,dobry,True,3.2,374000.0
Centrum,65.0,3,1,1977.0,dobry,False,2.4,1037000.0
Nowa Huta,43.1,1,3,1981.0,dobry,False,8.0,291000.0
Bronowice,77.7,3,1,2010.0,,False,6.0,751000.0
Centrum,22.5,1,5,1927.0,dobry,True,2.1,379000.0
Krowodrza,39.5,2,7,2021.0,do remontu,True,2.8,448000.0
Centrum,28.8,1,10,1939.0,po remoncie,True,1.6,487000.0
Nowa Huta,38.9,2,4,2006.0,dobry,True,7.8,360000.0
Podgórze,56.7,3,9,2012.0,do remontu,True,4.8,638000.0
Nowa Huta,48.8,3,2,2018.0,dobry,False,8.6,351000.0
Nowa Huta,47.6,2,8,1970.0,po remoncie,True,6.8,431000.0
Nowa Huta,49.2,2,6,2022.0,dobry,True,8.2,371000.0
Centrum,55.8,3,8,1963.0,do remontu,True,2.6,914000.0
Bronowice,36.5,1,8,1982.0,do remontu,True,4.8,297000.0
Podgórze,66.6,3,5,1982.0,do remontu,True,3.9,607000.0
Centrum,65.6,1,2,1938.0,po remoncie,True,1.5,968000.0
Krowodrza,59.5,2,5,2002.0,po remoncie,True,2.0,800000.0
Podgórze,63.2,3,9,1990.0,do remontu,True,4.0,743000.0
Nowa Huta,57.7,3,10,1964.0,po remoncie,True,6.6,676000.0
Nowa Huta,106.0,4,10,2023.0,do remontu,True,7.4,778000.0
Podgórze,50.4,2,1,1974.0,dobry,True,4.6,510000.0
Bronowice,46.7,3,6,1966.0,po remoncie,True,5.4,448000.0
Podgórze,39.9,2,1,1998.0,dobry,False,3.2,467000.0
Krowodrza,36.2,3,7,,do remontu,True,3.4,390000.0
Podgórze,33.6,2,10,1999.0,dobry,True,3.4,392000.0
Bronowice,38.1,2,0,2016.0,po remoncie,False,5.0,500000.0
Podgórze,50.7,3,7,1966.0,dobry,True,4.2,604000.0
Centrum,58.5,3,10,1967.0,do remontu,True,0.3,819000.0
Krowodrza,52.9,2,9,1993.0,do remontu,True,3.0,584000.0
Bronowice,39.8,2,4,2010.0,dobry,True,4.7,423000.0
Bronowice,71.3,3,1,1998.0,dobry,False,3.4,874000.0
Nowa Huta,67.4,2,10,1984.0,po remoncie,True,7.1,639000.0
Bronowice,49.2,2,10,1999.0,po remoncie,True,6.6,671000.0
Bronowice,41.4,2,6,2022.0,po remoncie,True,5.4,600000.0
Krowodrza,63.0,3,10,1990.0,po remoncie,True,1.7,838000.0
Podgórze,55.5,3,0,2016.0,dobry,False,2.0,613000.0
Nowa Huta,31.3,1,6,2009.0,dobry,True,7.9,253000.0
Nowa Huta,50.8,2,0,1979.0,dobry,True,9.6,361000.0
Podgórze,57.0,3,10,1975.0,dobry,True,3.3,731000.0
Centrum,38.0,2,7,1924.0,po remoncie,True,2.3,614000.0
Nowa Huta,55.6,2,10,,,True,8.4,510000.0
Podgórze,31.3,1,6,1981.0,po remoncie,True,4.0,433000.0
Bronowice,83.0,4,0,1975.0,dobry,False,3.7,923000.0
Podgórze,80.5,3,0,1998.0,,False,4.4,1062000.0
Centrum,47.6,1,3,1972.0,,True,0.7,797000.0
Nowa Huta,59.1,3,8,2002.0,do remontu,True,8.9,425000.0
Podgórze,22.4,1,1,2019.0,dobry,False,2.7,328000.0
Podgórze,34.7,1,9,,dobry,True,3.7,423000.0
Krowodrza,46.9,2,2,2020.0,do remontu,True,3.4,541000.0
Bronowice,35.7,2,5,1961.0,po remoncie,True,4.8,395000.0
Podgórze,66.8,3,2,1989.0,do remontu,True,3.9,736000.0
Podgórze,104.6,5,5,1974.0,do remontu,True,3.2,1197000.0
Nowa Huta,34.4,1,4,,po remoncie,True,7.4,323000.0
Bronowice,38.8,2,0,2005.0,do remontu,False,6.6,407000.0
Krowodrza,56.5,2,6,1980.0,po remoncie,True,4.0,665000.0
Centrum,91.4,4,8,1968.0,po remoncie,True,0.3,1627000.0
Centrum,33.9,2,10,1915.0,do remontu,True,1.6,398000.0
Podgórze,56.7,3,3,1991.0,dobry,True,2.8,655000.0
Centrum,98.4,5,9,1975.0,dobry,True,0.3,2024000.0
Nowa Huta,29.2,2,9,1963.0,po remoncie,True,9.0,252000.0
Centrum,33.2,1,10,,po remoncie,True,0.3,590000.0
Krowodrza,44.8,2,4,1982.0,po remoncie,True,3.9,647000.0
Nowa Huta,43.3,2,9,2012.0,dobry,True,7.7,312000.0
Krowodrza,69.1,3,6,2015.0,dobry,True,2.8,900000.0
Podgórze,56.6,3,0,2008.0,dobry,True,3.9,783000.0
Nowa Huta,27.9,2,2,1961.0,po remoncie,True,8.6,229000.0
Nowa Huta,62.3,3,7,2013.0,dobry,True,7.2,512000.0
Nowa Huta,42.5,2,1,,dobry,True,8.7,395000.0
Centrum,81.2,3,4,1922.0,dobry,True,1.1,1321000.0
Centrum,41.7,2,8,1927.0,,True,0.3,642000.0
Bronowice,41.6,2,1,2015.0,po remoncie,False,4.8,512000.0
Podgórze,62.8,3,5,1963.0,do remontu,True,4.9,584000.0
Podgórze,67.9,3,2,1983.0,dobry,False,5.2,699000.0
Krowodrza,60.8,3,5,2007.0,dobry,True,3.7,747000.0
Nowa Huta,28.8,2,2,1994.0,dobry,True,6.8,225000.0
Bronowice,62.8,3,10,,dobry,True,5.5,656000.0
Podgórze,36.2,1,0,1993.0,do remontu,False,4.4,321000.0
Bronowice,56.5,3,10,2015.0,dobry,True,5.7,566000.0
Centrum,31.6,1,8,1938.0,dobry,True,1.8,469000.0
Krowodrza,60.8,2,9,2007.0,dobry,True,3.4,850000.0
Nowa Huta,39.2,1,9,2007.0,dobry,True,7.9,404000.0
Centrum,33.2,1,2,,po remoncie,False,0.4,552000.0
Centrum,66.8,3,10,1952.0,dobry,True,0.3,1063000.0
Krowodrza,56.6,2,6,1973.0,po remoncie,True,3.3,837000.0
Bronowice,41.9,2,10,1995.0,dobry,True,5.2,466000.0
Krowodrza,86.4,4,9,1994.0,dobry,True,3.6,1235000.0
Bronowice,44.6,2,6,1986.0,dobry,True,3.7,558000.0
Nowa Huta,52.6,3,4,2009.0,do remontu,True,8.6,396000.0
Krowodrza,57.1,3,1,2011.0,dobry,False,5.1,710000.0
Nowa Huta,41.9,2,1,,dobry,True,8.1,335000.0
Centrum,61.3,2,4,1924.0,po remoncie,True,0.9,859000.0
Centrum,43.1,2,8,1921.0,dobry,True,1.3,562000.0
Nowa Huta,45.0,1,5,1986.0,do remontu,True,10.0,285000.0
Nowa Huta,83.8,4,5,1961.0,dobry,True,7.0,606000.0
Podgórze,36.1,2,2,1981.0,dobry,False,3.7,433000.0
Krowodrza,22.3,2,6,2021.0,po remoncie,True,2.2,405000.0
Nowa Huta,91.4,5,7,1988.0,po remoncie,True,7.5,790000.0
Bronowice,126.9,5,10,2005.0,dobry,True,5.0,1525000.0
Nowa Huta,45.1,2,8,1966.0,dobry,True,9.3,315000.0
Krowodrza,26.4,1,6,2000.0,,True,4.8,335000.0
Podgórze,46.6,2,10,1983.0,dobry,True,3.9,519000.0
Krowodrza,47.0,2,4,2007.0,po remoncie,True,2.6,777000.0
Nowa Huta,48.7,3,10,2019.0,,True,10.5,379000.0
Bronowice,35.2,1,4,1994.0,dobry,True,4.6,449000.0
Krowodrza,63.7,3,1,1966.0,dobry,False,2.4,768000.0
Podgórze,62.5,3,4,1990.0,do remontu,True,1.7,631000.0
Podgórze,30.8,1,1,1967.0,do remontu,False,4.9,251000.0
Nowa Huta,66.4,4,1,1988.0,do remontu,False,9.0,454000.0
Nowa Huta,106.7,5,9,1963.0,dobry,True,10.4,873000.0
Centrum,55.2,3,8,,,True,0.3,938000.0
Centrum,46.2,2,2,1901.0,dobry,False,2.5,731000.0
Krowodrza,49.5,2,9,1972.0,dobry,True,3.1,733000.0
Centrum,64.5,3,0,1963.0,do remontu,True,1.8,815000.0
Nowa Huta,28.4,2,3,2016.0,dobry,True,6.4,252000.0
Podgórze,55.1,2,7,2013.0,po remoncie,True,5.0,799000.0
Centrum,45.4,2,3,1933.0,dobry,False,1.8,577000.0
Bronowice,99.3,4,8,1963.0,,True,5.0,1198000.0
Podgórze,48.9,2,9,1982.0,po remoncie,True,4.1,674000.0
Podgórze,93.2,4,0,2022.0,do remontu,True,2.7,1074000.0
Podgórze,35.3,3,0,1997.0,dobry,False,2.9,456000.0
Centrum,63.9,2,10,1905.0,po remoncie,True,0.5,1177000.0
Centrum,58.2,3,5,1983.0,dobry,True,0.3,975000.0
Centrum,38.4,2,5,1932.0,do remontu,True,1.9,462000.0
Podgórze,55.3,3,5,2022.0,po remoncie,True,4.7,911000.0
Centrum,79.5,4,4,1956.0,po remoncie,True,0.3,1528000.0
Krowodrza,46.4,2,7,2017.0,dobry,True,3.3,627000.0
Nowa Huta,28.8,1,6,,dobry,True,7.7,241000.0
Podgórze,51.7,3,1,2019.0,dobry,False,3.8,650000.0
Podgórze,37.9,1,6,2012.0,po remoncie,True,2.9,568000.0
Krowodrza,46.1,3,7,1981.0,dobry,True,2.1,537000.0
Bronowice,50.5,2,1,2012.0,do remontu,False,6.1,409000.0
Bronowice,28.6,1,4,1970.0,dobry,True,4.9,286000.0
Centrum,29.5,1,8,1939.0,po remoncie,True,3.0,426000.0
Podgórze,61.6,3,6,1973.0,po remoncie,True,3.5,763000.0
Podgórze,43.3,3,1,1968.0,dobry,False,2.6,528000.0
Podgórze,22.0,1,0,1965.0,do remontu,True,4.7,208000.0
Krowodrza,68.4,3,6,1971.0,po remoncie,True,3.6,989000.0
Krowodrza,57.2,2,5,1967.0,po remoncie,True,3.7,710000.0
Centrum,40.5,2,10,1932.0,dobry,True,2.2,550000.0
Podgórze,32.8,1,5,1964.0,dobry,True,2.8,409000.0
Krowodrza,69.7,3,10,1963.0,dobry,True,2.9,935000.0
Centrum,58.8,3,2,1907.0,dobry,False,0.8,727000.0
Nowa Huta,119.7,5,4,1965.0,do remontu,True,6.7,849000.0
Centrum,60.2,4,1,1901.0,do remontu,False,0.7,837000.0
Bronowice,59.6,2,6,,dobry,True,6.3,649000.0
Centrum,49.0,3,2,1942.0,po remoncie,True,1.2,760000.0
Nowa Huta,69.2,3,5,1993.0,do remontu,True,6.7,503000.0
Bronowice,64.7,3,3,,dobry,True,3.4,760000.0
Bronowice,80.6,4,2,2007.0,,True,6.7,896000.0
Nowa Huta,43.3,2,1,1997.0,dobry,False,7.9,354000.0
Nowa Huta,44.6,2,5,1965.0,do remontu,True,7.4,265000.0
Nowa Huta,44.0,2,10,,,True,7.7,334000.0
Nowa Huta,68.6,2,2,1962.0,dobry,False,6.5,533000.0
Centrum,87.9,3,4,1949.0,dobry,True,2.4,1271000.0
Krowodrza,44.3,2,2,1986.0,po remoncie,False,2.6,601000.0
Krowodrza,44.8,2,8,2016.0,do remontu,True,4.4,509000.0
Bronowice,58.0,2,4,1979.0,po remoncie,True,5.1,724000.0
Krowodrza,47.7,2,10,2000.0,po remoncie,True,4.4,770000.0
Podgórze,72.6,4,2,1988.0,po remoncie,False,3.8,935000.0
Nowa Huta,23.6,1,0,,dobry,True,8.9,199000.0
Podgórze,38.9,1,6,2020.0,dobry,True,4.2,470000.0
Centrum,39.5,2,7,1971.0,dobry,True,1.6,655000.0
Krowodrza,23.1,2,10,1986.0,dobry,True,3.3,315000.0
Krowodrza,37.1,2,9,1988.0,do remontu,True,2.8,458000.0
Podgórze,37.7,2,9,2005.0,po remoncie,True,5.4,547000.0
Podgórze,48.5,3,6,1982.0,dobry,True,2.6,630000.0
Podgórze,76.8,4,3,1970.0,po remoncie,False,3.5,960000.0
Podgórze,47.7,2,4,1989.0,dobry,True,3.5,596000.0
Podgórze,36.3,2,1,1964.0,do remontu,True,3.9,394000.0
Nowa Huta,51.0,3,4,1970.0,,True,7.6,388000.0
Podgórze,75.1,3,4,1986.0,dobry,True,3.8,849000.0
Bronowice,37.0,2,0,2010.0,dobry,False,4.8,429000.0
Bronowice,37.8,1,2,2010.0,dobry,True,3.4,481000.0
Krowodrza,63.2,2,5,1976.0,dobry,True,3.0,754000.0
Podgórze,48.1,3,4,1987.0,dobry,True,2.4,593000.0
Krowodrza,65.2,3,10,1969.0,dobry,True,1.3,855000.0
Nowa Huta,51.8,3,5,2008.0,po remoncie,True,8.1,403000.0
Nowa Huta,66.5,3,10,1975.0,do remontu,True,8.5,444000.0
Nowa Huta,36.2,1,7,2011.0,dobry,True,8.5,307000.0
Krowodrza,51.8,2,0,2013.0,dobry,False,3.6,674000.0
Nowa Huta,48.3,2,2,2004.0,dobry,True,6.1,501000.0
Podgórze,34.0,2,7,,dobry,True,2.1,375000.0
Nowa Huta,30.1,2,5,2020.0,dobry,True,10.0,234000.0
Podgórze,66.1,3,3,2003.0,po remoncie,False,2.5,701000.0
Nowa Huta,46.0,2,5,2001.0,dobry,True,8.6,370000.0
Bronowice,36.4,1,9,2014.0,dobry,True,4.3,422000.0
Centrum,50.3,3,4,1919.0,do remontu,True,1.1,574000.0
Nowa Huta,77.2,4,0,1964.0,,False,7.4,669000.0
Centrum,23.4,1,3,1920.0,dobry,False,1.6,344000.0
Nowa Huta,30.8,1,10,,do remontu,True,8.1,218000.0
Centrum,37.6,2,8,1967.0,dobry,True,0.6,574000.0
Bronowice,86.7,4,9,1979.0,dobry,True,3.9,1092000.0
Centrum,57.4,3,10,1956.0,po remoncie,True,1.3,980000.0
Bronowice,68.0,3,1,1973.0,dobry,False,3.8,678000.0
Nowa Huta,34.9,1,3,1988.0,dobry,False,8.4,234000.0
Krowodrza,35.1,1,0,2004.0,dobry,False,5.6,418000.0
Nowa Huta,60.8,2,0,2001.0,do remontu,False,9.4,444000.0
Nowa Huta,53.1,2,9,2018.0,do remontu,True,8.7,493000.0
Bronowice,63.0,3,10,1967.0,dobry,True,4.9,688000.0
Podgórze,48.7,3,1,1978.0,po remoncie,False,1.6,603000.0
Krowodrza,57.3,3,7,2023.0,do remontu,True,1.7,631000.0
Centrum,55.0,3,5,1917.0,dobry,True,2.3,797000.0
Nowa Huta,68.3,3,0,1975.0,po remoncie,False,7.2,511000.0
Podgórze,69.0,3,10,1978.0,po remoncie,True,2.8,988000.0
Krowodrza,29.5,1,9,1981.0,dobry,True,2.8,421000.0
Krowodrza,23.7,1,6,1995.0,dobry,True,1.9,341000.0
Krowodrza,73.8,4,7,1978.0,dobry,True,1.8,963000.0
Krowodrza,78.8,2,4,1999.0,po remoncie,True,2.9,1270000.0
Nowa Huta,36.4,1,8,1988.0,do remontu,True,7.1,268000.0
Nowa Huta,27.1,1,4,1999.0,po remoncie,True,7.3,244000.0
Krowodrza,53.8,2,10,1969.0,do remontu,True,2.2,715000.0
Krowodrza,72.0,4,0,1999.0,po remoncie,False,3.5,1005000.0
Bronowice,97.6,5,1,2019.0,do remontu,False,4.8,1039000.0
Centrum,62.3,3,10,1960.0,do remontu,True,0.8,647000.0
Centrum,45.7,3,3,1989.0,do remontu,True,1.6,717000.0
Centrum,38.0,2,3,1973.0,dobry,False,0.9,675000.0
Nowa Huta,52.2,2,8,1999.0,dobry,True,7.7,450000.0
Krowodrza,46.8,3,2,2003.0,do remontu,False,3.5,547000.0
Nowa Huta,36.5,2,5,1995.0,dobry,True,8.7,321000.0
Nowa Huta,106.5,5,3,2003.0,dobry,True,7.9,861000.0
Podgórze,97.1,5,2,1999.0,po remoncie,True,3.6,1425000.0
Bronowice,77.4,4,10,1964.0,po remoncie,True,4.2,876000.0
Nowa Huta,37.7,2,2,2008.0,dobry,False,7.1,302000.0
Podgórze,70.1,4,1,,do remontu,True,4.3,792000.0
Podgórze,65.0,2,7,1963.0,dobry,True,3.9,821000.0
Podgórze,60.7,2,9,1986.0,po remoncie,True,4.0,759000.0
Podgórze,80.5,3,1,,do remontu,True,3.8,764000.0
Centrum,65.0,3,7,1938.0,dobry,True,1.0,900000.0
Bronowice,67.4,3,5,2023.0,po remoncie,True,5.7,966000.0
Krowodrza,65.0,2,9,1974.0,po remoncie,True,3.9,834000.0
Podgórze,58.6,2,1,1981.0,dobry,True,4.4,714000.0
Nowa Huta,27.9,1,10,1988.0,dobry,True,7.9,252000.0
Krowodrza,53.5,4,6,2013.0,dobry,True,4.4,717000.0
Bronowice,42.8,3,9,2007.0,po remoncie,True,5.2,619000.0
Nowa Huta,33.2,1,3,2009.0,do remontu,False,8.6,226000.0
Krowodrza,93.7,4,10,1975.0,do remontu,True,3.3,1002000.0
Podgórze,95.2,4,6,2014.0,dobry,True,3.7,1100000.0
Bronowice,83.7,3,1,2013.0,dobry,True,4.3,1116000.0
Nowa Huta,56.9,3,10,1989.0,dobry,True,8.7,434000.0
Bronowice,83.4,3,8,1994.0,dobry,True,7.8,926000.0
Centrum,52.2,2,3,1960.0,po remoncie,False,0.6,872000.0
Bronowice,55.8,2,6,2008.0,po remoncie,True,5.1,659000.0
Nowa Huta,35.5,1,4,2021.0,dobry,True,7.6,300000.0
Centrum,59.8,3,5,1951.0,po remoncie,True,0.5,1181000.0
Krowodrza,53.1,3,10,1994.0,dobry,True,4.5,705000.0
Nowa Huta,33.0,2,9,1991.0,dobry,True,7.3,255000.0
Centrum,51.1,2,2,1979.0,do remontu,False,0.5,701000.0
Krowodrza,50.6,3,10,1999.0,po remoncie,True,1.4,784000.0
Nowa Huta,97.6,4,4,2006.0,po remoncie,True,7.2,1361000.0
Podgórze,71.1,4,7,2019.0,po remoncie,True,1.8,1097000.0
